v_id;lon;lat;wkt_srid_4326;typ;voltage;frequency;name;operator;ref
329;13.00278211;48.26196827;"SRID=4326;POINT(13.0027821071279 48.261968265807)";substation;220000;;Umspannwerk Simbach;Tennet, E.on Netz;
330;12.22083536;48.58573299;"SRID=4326;POINT(12.2208353620671 48.5857329876532)";substation;"220000;110000";50;Umspannwerk Altheim;TenneT TSO GmbH, E.ON Netz GmbH;AHM
331;12.74744423;48.14875584;"SRID=4326;POINT(12.7474442277007 48.1487558434787)";substation;"220000;110000";50;Umspannwerk Pirach;TenneT TSO GmbH, E.ON Netz GmbH;PI
332;13.10343464;48.66679296;"SRID=4326;POINT(13.1034346393158 48.6667929606034)";substation;"380000;220000;110000";50;Umspannwerk Pleinting;TenneT TSO GmbH, E.ON Netz GmbH;PT
333;9.196982359;54.85109861;"SRID=4326;POINT(9.19698235871826 54.8510986052119)";substation;"380000;110000;20000";50;Umspannwerk Jardelund;TenneT;
334;11.1937278;50.16221444;"SRID=4326;POINT(11.193727795361 50.1622144406172)";substation;"380000;110000";;Umspannwerk Redwitz;;RED
335;10.83601575;49.92806739;"SRID=4326;POINT(10.8360157547717 49.9280673897058)";substation;380000;;Umspannwerk Oberhaid;TenneT TSO GmbH;OD
336;11.81070255;50.18376553;"SRID=4326;POINT(11.8107025453557 50.1837655260691)";substation;"380000;220000;110000";50;Umspannwerk Mechlenreuth;"TenneT TSO GmbH;E.ON Netz GmbH";MH
337;12.29688379;48.60690992;"SRID=4326;POINT(12.2968837896062 48.6069099225677)";substation;380000;;Isar;;IS
338;12.08225445;49.29744777;"SRID=4326;POINT(12.0822544456506 49.2974477669261)";substation;"380000;220000;110000";50;Schwandorf;TenneT TSO GmbH, E.ON Netz GmbH;SD
339;8.953681213;49.56744317;"SRID=4326;POINT(8.95368121281126 49.5674431691125)";substation;"220000;110000";50;Beerfelden;;
340;12.46964401;51.37166295;"SRID=4326;POINT(12.4696440085589 51.3716629493371)";substation;"220000;110000";50;Umspannwerk Taucha;"50Hertz;enviaM";
341;12.24882391;51.19788243;"SRID=4326;POINT(12.2488239057592 51.1978824277899)";substation;"220000;110000";50;Großdalzig;"50Hertz Transmission;enviaM";
342;10.73466943;51.44018676;"SRID=4326;POINT(10.7346694298176 51.4401867580454)";substation;220000;50;Wolkramshausen (220 kV);50Hertz;WK
343;11.00491691;50.50741497;"SRID=4326;POINT(11.0049169149012 50.5074149690608)";substation;380000;50;Pumpspeicherwerk Goldisthal;;
344;13.0025899;50.86591272;"SRID=4326;POINT(13.0025898987886 50.8659127196838)";substation;"220000;110000";50;Niederwiesa;eins-Energie;Nws
345;12.24283692;50.56745317;"SRID=4326;POINT(12.2428369226029 50.5674531670625)";substation;"220000;110000";50;Umspannwerk Herlasgrün;"50Hertz;enviaM";Her
346;13.24902837;52.53162389;"SRID=4326;POINT(13.249028367237 52.5316238928337)";substation;"380000;110000";50;Umspannwerk Reuter;50Hertz;
347;13.31551585;52.52199937;"SRID=4326;POINT(13.3155158513838 52.5219993683183)";substation;"380000;110000";50;Umspannwerk Charlottenburg;50Hertz;
348;13.36865846;52.50314221;"SRID=4326;POINT(13.3686584616208 52.5031422115792)";substation;"380000;110000";;Berlin/Mitte;"50Hertz;Stromnetz Berlin";
349;11.79241384;48.83822402;"SRID=4326;POINT(11.7924138446413 48.8382240226632)";substation;"220000;110000";;Umspannwerk Sittling;"TenneT TSO GmbH;E.ON Netz GmbH";SIT
350;11.32695268;49.39347312;"SRID=4326;POINT(11.3269526751765 49.393473117636)";substation;"220000;110000";50;Umspannwerk Ludersheim;"TenneT TSO GmbH;E.ON Netz GmbH";LU
351;11.50773055;48.76112399;"SRID=4326;POINT(11.5077305510922 48.7611239877457)";substation;"380000;220000;110000";50;Ingolstadt;;IN
352;11.80760564;48.4554268;"SRID=4326;POINT(11.8076056361242 48.4554267991033)";substation;"220000;110000";;Zolling - Irsching;;ZOL
353;11.58137052;48.76489405;"SRID=4326;POINT(11.5813705216127 48.7648940508515)";substation;"380000;220000;110000";50;Irsching;;IRS
354;11.63931211;48.17878341;"SRID=4326;POINT(11.6393121107521 48.1787834095237)";substation;"380000;110000";50;Föhring;;
355;6.177914512;49.95306508;"SRID=4326;POINT(6.17791451185192 49.9530650802033)";substation;220000;;Vianden;SEO;
356;6.211020315;49.95862575;"SRID=4326;POINT(6.21102031526762 49.9586257531557)";substation;220000;50;SA Bauler;Amprion;
357;6.114517007;49.90536466;"SRID=4326;POINT(6.11451700702834 49.9053646588261)";substation;"220000;65000";;Flebour;;
358;6.08346045;49.77644062;"SRID=4326;POINT(6.08346044961418 49.7764406189112)";substation;"220000;65000";;Roost;;
359;6.276941785;49.19774007;"SRID=4326;POINT(6.27694178519793 49.1977400673896)";substation;"400000;225000";;Poste électrique de Vigy;RTE;
360;6.773207838;49.29107421;"SRID=4326;POINT(6.77320783777607 49.2910742103854)";substation;"380000;220000;110000";50;Umspannanlage Ensdorf;;
361;6.703652357;49.13851119;"SRID=4326;POINT(6.70365235663769 49.1385111923078)";substation;"400000;225000;90000";;Poste électrique de Saint-Avold;RTE;
362;8.049363524;47.55088185;"SRID=4326;POINT(8.04936352422006 47.550881853478)";substation;"380000;220000";50;Laufenburg;;
363;7.500061734;51.53517409;"SRID=4326;POINT(7.50006173413631 51.535174092458)";substation;220000;50;Ratsbusch;;
364;6.97593254;51.03760073;"SRID=4326;POINT(6.97593254033334 51.0376007284972)";substation;"220000;110000";;Station Dhünnaue;;
365;13.242849;52.53495399;"SRID=4326;POINT(13.2428489964032 52.5349539946502)";generator;;;Heizkraftwerk Reuter West;;
366;8.562181934;49.13294994;"SRID=4326;POINT(8.56218193445384 49.132949935954)";substation;"380000;110000";50;Umspannwerk Bruchsal-Kändelweg;"EnBW;TransnetBW;NetzeBW";
367;8.441315485;49.25140265;"SRID=4326;POINT(8.4413154852023 49.2514026469585)";substation;380000;50;Philippsburg 380 kV;EnBW;
368;7.942081286;47.65334155;"SRID=4326;POINT(7.94208128553147 47.6533415488354)";generator;;;Kavernenkraftwerk Wehr;;
369;9.068791058;53.56664141;"SRID=4326;POINT(9.06879105808819 53.5666414121342)";substation;"380000;110000";50;Alfstedt;EON_Netz;
370;6.741376172;49.35749194;"SRID=4326;POINT(6.7413761724965 49.3574919373628)";substation;220000;50;UA Dillinger Hütte Mitte;;
371;6.749700094;49.36517637;"SRID=4326;POINT(6.74970009407096 49.3651763747607)";substation;220000;50;UA Obergraben;Amprion;
372;6.766015645;49.36007715;"SRID=4326;POINT(6.76601564520935 49.3600771523749)";substation;"220000;110000";50;Station Saarwellingen;Amprion;
373;12.15040162;49.01275181;"SRID=4326;POINT(12.1504016214021 49.0127518128214)";substation;220000;;Umspannwerk Regensburg;TenneT TSO GmbH, E.ON Netz GmbH;RE
374;7.591359841;51.92844167;"SRID=4326;POINT(7.5913598406626 51.928441667004)";substation;"220000;110000";50;Station Münster;RWE;
375;8.451544373;49.00740291;"SRID=4326;POINT(8.45154437251894 49.0074029130057)";substation;"220000;110000";50;Karlsruhe-Rintheim;;
376;8.99620818;52.37958799;"SRID=4326;POINT(8.99620817966153 52.379587985752)";substation;380000;50;KW Heyden;;
377;9.562823374;48.70148982;"SRID=4326;POINT(9.56282337410874 48.7014898200493)";substation;"380000;110000";50;EnBW Umspannwerk Bünzwangen;EnBW;BZW
378;9.370845416;48.71912333;"SRID=4326;POINT(9.37084541589578 48.7191233300187)";substation;"380000;110000";50;EnBW Umspannwerk Altbach 1;;
379;9.377605776;48.81260686;"SRID=4326;POINT(9.37760577643558 48.812606857093)";substation;"380000;110000";;EnBW Umspannwerk Endersbach;Netze BW;
380;9.821583802;52.42485525;"SRID=4326;POINT(9.82158380229154 52.4248552546066)";substation;"220000;110000";50;Lahe;enercity Netzgesellschaft mbH;LAH
381;9.076225436;49.36338696;"SRID=4326;POINT(9.0762254363019 49.3633869626072)";substation;"220000;110000";50;Obrigheim;;
382;10.16029127;49.98919478;"SRID=4326;POINT(10.1602912689993 49.9891947837947)";substation;"380000;220000;110000";50;Umspannwerk Bergrheinfeld;TenneT TSO GmbH;BRF
383;10.19649157;50.0279724;"SRID=4326;POINT(10.1964915719944 50.0279724033143)";substation;"220000;110000";50;Schweinfurt;;
384;10.8431178;49.37869269;"SRID=4326;POINT(10.8431177989998 49.3786926858391)";substation;"380000;220000;110000";50;Umspannwerk Raitersaich;"TenneT TSO GmbH;E.ON Netz GmbH";RAI
385;9.090517549;49.97004137;"SRID=4326;POINT(9.09051754868887 49.9700413735997)";substation;"380000;220000;110000";50;Umspannwerk Aschaffenburg;"TenneT TSO GmbH;E.ON Netz GmbH";AS
386;8.813994194;51.98343663;"SRID=4326;POINT(8.8139941935628 51.9834366294197)";substation;"220000;110000";;Umspannwerk Lage;;
387;8.932218439;52.19331243;"SRID=4326;POINT(8.93221843866486 52.1933124298166)";substation;"220000;110000";50;Veltheim;;
388;8.959044132;52.27849498;"SRID=4326;POINT(8.95904413219088 52.2784949764899)";substation;"220000;110000";50;Umspannwerk Meißen;EON_WestfalenWeser;
389;9.594301589;49.79844273;"SRID=4326;POINT(9.59430158866246 49.7984427303145)";substation;"220000;110000";50;Umspannwerk Trennfeld;"TenneT TSO GmbH;E.ON Netz GmbH";TRE
390;10.9729039;49.55850738;"SRID=4326;POINT(10.9729038959004 49.5585073756737)";substation;"380000;110000";50;Kriegenbrunn;EON_Netz;KRI
391;8.954644121;50.08601573;"SRID=4326;POINT(8.95464412133747 50.0860157333265)";substation;"220000;110000";50;Kraftwerkseinspeisung Staudinger;;
392;7.175904389;51.47557825;"SRID=4326;POINT(7.17590438914786 51.4755782506206)";substation;220000;;UW Stahlwerk ThyssenKrupp Nirosta;;
393;10.23164155;48.52976228;"SRID=4326;POINT(10.231641549556 48.5297622792522)";substation;"380000;110000";50;Umspannwerk Niederstotzingen;EnBW;
394;10.22245399;48.73675223;"SRID=4326;POINT(10.2224539935941 48.7367522347984)";substation;"380000;110000";50;Umspannwerk Rotensohl;EnBW;
395;9.645335033;47.74459611;"SRID=4326;POINT(9.64533503255392 47.7445961090448)";substation;"380000;110000";50;380kV-Umspannwerk Grünkraut;;
396;10.40158686;48.50992974;"SRID=4326;POINT(10.4015868558303 48.5099297352537)";substation;"380000;110000";50;Gundremmingen;LEW;Station 179 U
397;8.809623309;50.20347481;"SRID=4326;POINT(8.80962330905886 50.2034748086043)";substation;"380000;110000";;Umspannwerk Karben;TenneT;
398;9.72460611;54.28827025;"SRID=4326;POINT(9.72460611042234 54.2882702503445)";substation;"380000;110000";50;Audorf;TenneT;
399;9.097142209;48.82776184;"SRID=4326;POINT(9.09714220939812 48.8277618380686)";substation;"220000;110000";;Umspannwerk Weilimdorf;;
400;8.628864933;51.99363407;"SRID=4326;POINT(8.62886493303814 51.9936340707213)";substation;"220000;110000";50;Umspannwerk Bielefeld Ost;Stadtwerke Bielefeld GmbH;
401;10.0604081;54.34877082;"SRID=4326;POINT(10.0604081018258 54.3487708201584)";substation;"220000;110000";50;Umspannwerk Kiel West;TenneT;
402;9.449636527;53.9672865;"SRID=4326;POINT(9.44963652666114 53.967286497351)";substation;"220000;110000";50;Itzehoe/West;TenneT TSO GmbH;
403;8.258859948;47.63421162;"SRID=4326;POINT(8.25885994832776 47.6342116213731)";substation;"380000;220000;110000";50;Tiengen;Amprion;
404;8.23209442;47.55614348;"SRID=4326;POINT(8.23209442033504 47.5561434831307)";substation;"380000;220000";;Betznau;;
405;7.752590557;47.53913302;"SRID=4326;POINT(7.75259055668336 47.5391330214816)";substation;380000;;Asphard;ALPIQ AXPO;
406;8.861525753;47.80643532;"SRID=4326;POINT(8.86152575255362 47.8064353220893)";substation;"220000;110000";50;Beuren;;
407;13.14567292;55.50160258;"SRID=4326;POINT(13.1456729233878 55.5016025811583)";substation;"400000;130000";;;;
408;10.80235797;53.89754741;"SRID=4326;POINT(10.8023579660248 53.8975474102628)";substation;"380000;110000";;HGÜ Baltic-Cable - Stromrichterstation Herrenwyk;;
409;9.215650143;48.85230532;"SRID=4326;POINT(9.21565014323537 48.8523053231829)";substation;"380000;110000";50;Umspannwerk Mühlhausen;EnBW AG;
410;10.40128139;48.51460841;"SRID=4326;POINT(10.4012813869114 48.5146084080517)";plant;;;Kernkraftwerk Gundremmingen;Kernkraftwerk Gundremmingen GmbH;KRB
411;8.737572689;51.70016927;"SRID=4326;POINT(8.73757268935919 51.7001692737445)";substation;"220000;110000";50;Umspannwerk Paderborn Süd;TenneT;
412;10.64146771;53.91916269;"SRID=4326;POINT(10.6414677086397 53.9191626884641)";substation;"220000;110000";50;Lübeck;"TenneT;EON_Netz";
413;8.673717289;49.29043939;"SRID=4326;POINT(8.67371728898445 49.2904393851271)";substation;"380000;220000;110000";50;Umspannwerk Wiesloch;EnBW;
414;9.487895027;53.63655776;"SRID=4326;POINT(9.48789502699389 53.6365577623199)";substation;220000;50;Götzdorf;;
415;9.491510793;53.65809828;"SRID=4326;POINT(9.49151079250535 53.6580982806881)";substation;220000;50;Abbenfleth;TenneT;
416;7.472266857;47.64661034;"SRID=4326;POINT(7.47226685748746 47.6466103447741)";substation;400000;;Poste électrique de Sierentz;;
417;13.44285419;48.43454636;"SRID=4326;POINT(13.4428541936116 48.4345463643775)";substation;220000;;Freiluftschaltanlage KW Schärding-Neuhaus;;
418;13.7106901;48.51930516;"SRID=4326;POINT(13.7106901040113 48.5193051606747)";substation;220000;;Jochenstein;;
419;6.025028728;54.35402869;"SRID=4326;POINT(6.02502872785802 54.3540286881643)";substation;150000;;BorWin Alpha;BARD Engineering;
420;6.02503295;54.35493295;"SRID=4326;POINT(6.02503294993986 54.3549329471359)";substation;150000;;BorWin Beta;;
421;9.091835297;49.29461887;"SRID=4326;POINT(9.09183529743294 49.2946188662059)";substation;"380000;220000;110000";50;Umspannwerk Hüffenhardt;;
422;8.663783158;49.36008737;"SRID=4326;POINT(8.66378315807233 49.3600873718872)";substation;"220000;110000";50;Umspannanlage Heidelberg-Süd;Stadtwerke Heidelberg Netze GmbH;
423;7.958491273;47.57914832;"SRID=4326;POINT(7.95849127307054 47.5791483196323)";generator;;;Kavernenkraftwerk Säckingen;Schluchseewerk AG;
424;8.349126123;49.01305212;"SRID=4326;POINT(8.34912612288763 49.0130521177978)";substation;"220000;110000";50;Karlsruhe-West;;
425;10.42038956;52.16520043;"SRID=4326;POINT(10.4203895577612 52.1652004276784)";substation;220000;50;;Salzgitter AG;
426;10.38847218;52.15136493;"SRID=4326;POINT(10.3884721771883 52.1513649329361)";substation;220000;;;;
427;8.306262651;49.01282584;"SRID=4326;POINT(8.30626265141083 49.0128258362562)";substation;380000;50;;EnBW AG;
428;14.45988682;51.83327592;"SRID=4326;POINT(14.4598868223649 51.8332759246019)";plant;;;Kraftwerk Jänschwalde;Vattenfall Europe;
429;6.216192971;50.9123618;"SRID=4326;POINT(6.21619297137216 50.9123617956925)";substation;"380000;110000";50;Siersdorf;;
430;5.918527345;51.14842639;"SRID=4326;POINT(5.91852734477995 51.1484263858426)";substation;380000;;380kV Maasbracht;TenneT;
431;6.214015399;50.94389986;"SRID=4326;POINT(6.2140153990158 50.9438998573728)";auxillary_T_node;380000;50;Kirchberg Süd;Amprion;
432;10.96625834;47.26953047;"SRID=4326;POINT(10.9662583424068 47.2695304688802)";substation;"220000;110000";;Silz;TIWAG-Netz AG;
433;11.27772104;47.49587267;"SRID=4326;POINT(11.2777210418419 47.4958726669837)";substation;"220000;110000";50;Umspannwerk Krün;E.ON Netz GmbH;
434;11.28694383;47.49286246;"SRID=4326;POINT(11.2869438320852 47.4928624569052)";auxillary_T_node;220000;50;Silz (AT) - Krün (DE) - Oberbrunn;;"250;251"
435;13.50533684;52.47477885;"SRID=4326;POINT(13.5053368398164 52.4747788520482)";auxillary_T_node;220000;50;302 Marzahn - Thyrow;50Hertz;302
436;8.4654298;48.04352362;"SRID=4326;POINT(8.46542980021065 48.0435236210637)";substation;"380000;110000";50;Umspannwerk Villingen;"EnBW; Energiedienst";
437;8.53055555;47.91484818;"SRID=4326;POINT(8.53055554991256 47.9148481845625)";auxillary_T_node;380000;50;ENGST-KUHMO-VILLI;EnBW;7630
438;8.248729016;48.84631652;"SRID=4326;POINT(8.24872901623214 48.8463165189067)";substation;"220000;110000";50;220-kV-Umspannwerk Kuppenheim;;
439;8.249750457;48.84917737;"SRID=4326;POINT(8.24975045659741 48.8491773731136)";auxillary_T_node;220000;50;Daxlanden - Weier;EnBW;DAXLA-KUMRA-WEIER
440;9.459677479;53.86465745;"SRID=4326;POINT(9.45967747872262 53.8646574512707)";auxillary_T_node;220000;50;202;TenneT;202
441;11.47039412;50.93039023;"SRID=4326;POINT(11.4703941249156 50.9303902294723)";substation;"380000;110000";50;Großschwabhausen;"50Hertz;EON_TEAG";
442;11.42990658;50.91144646;"SRID=4326;POINT(11.4299065773025 50.9114464610955)";auxillary_T_node;380000;50;415;50Hertz;415
443;7.254656882;53.02667163;"SRID=4326;POINT(7.25465688214231 53.0266716315927)";substation;380000;50;Umspannwerk Rhede;TenneT;RHED
444;7.255017735;53.02671369;"SRID=4326;POINT(7.25501773539194 53.0267136928067)";auxillary_T_node;380000;50;Emsland West;"Amprion;TenneT";305
445;7.371856394;52.19770665;"SRID=4326;POINT(7.37185639416872 52.1977066547834)";auxillary_T_node;220000;50;Amelsbüren;Amprion;
446;13.39982884;53.79444778;"SRID=4326;POINT(13.399828840425 53.7944477778114)";substation;220000;50;Umspannwerk Windpark Iven;50Hertz Transmission;
447;13.39847083;53.79333188;"SRID=4326;POINT(13.3984708281663 53.7933318754816)";auxillary_T_node;220000;50;316;50Hertz Transmission;316
448;7.424745246;51.45925839;"SRID=4326;POINT(7.42474524551043 51.4592583943398)";auxillary_T_node;380000;50;Schwerterheide Nord;Amprion;
449;7.123360468;51.44734439;"SRID=4326;POINT(7.12336046768833 51.4473443869048)";auxillary_T_node;380000;50;Oerkhaus West;Amprion;
450;7.416707912;51.45705216;"SRID=4326;POINT(7.41670791195847 51.4570521583476)";substation;"380000;220000;110000";50;Station Kruckel;"RWE;DSW 21; AVU";
451;7.416582614;51.46078236;"SRID=4326;POINT(7.41658261384975 51.4607823586596)";auxillary_T_node;380000;50;Witten West;Amprion;
452;6.53175001;50.39005126;"SRID=4326;POINT(6.53175001008574 50.39005126464)";substation;"380000;110000";;Station Dahlem;"Amprion; Westnetz";
453;6.533036531;50.39224278;"SRID=4326;POINT(6.53303653131644 50.3922427776709)";auxillary_T_node;380000;50;Selhausen West;Amprion;
454;6.608792268;51.03467877;"SRID=4326;POINT(6.60879226770999 51.0346787720857)";auxillary_T_node;380000;50;Neurath 2b;Amprion;
455;6.808906247;51.26860759;"SRID=4326;POINT(6.80890624663756 51.2686075940546)";substation;380000;50;Station Rath;;
456;6.720331675;51.34412358;"SRID=4326;POINT(6.72033167479422 51.3441235773954)";auxillary_T_node;380000;50;Meerbusch West;Amprion;
457;7.139374734;51.56083139;"SRID=4326;POINT(7.13937473425833 51.5608313916517)";auxillary_T_node;220000;50;Hochlarmark West;Amprion;
458;7.41946378;51.45751009;"SRID=4326;POINT(7.41946378046051 51.4575100936229)";auxillary_T_node;220000;50;Haarstrang Ost;Amprion;
459;7.19597933;51.41157531;"SRID=4326;POINT(7.19597933005019 51.4115753148661)";substation;220000;;Station Welper;RWE;
460;7.17920262;51.42182448;"SRID=4326;POINT(7.17920262035811 51.4218244823956)";auxillary_T_node;220000;50;Welper Ost;Amprion;
461;7.324279583;51.62138747;"SRID=4326;POINT(7.32427958320741 51.6213874676194)";substation;220000;50;Rheinzink;;
462;7.343713344;51.61310494;"SRID=4326;POINT(7.34371334412713 51.6131049439167)";auxillary_T_node;220000;50;Elmenhorst Süd;Amprion;
463;6.522725489;51.32249547;"SRID=4326;POINT(6.52272548882226 51.3224954692993)";auxillary_T_node;220000;50;Utfort West;Amprion;
464;6.963305454;50.83376292;"SRID=4326;POINT(6.96330545403678 50.8337629177582)";substation;"220000;110000";50;Station Bollenacker;RWE;
465;6.929092691;50.84415297;"SRID=4326;POINT(6.92909269080674 50.8441529722133)";auxillary_T_node;220000;50;Godorf Ost;Amprion;
466;7.095826719;50.82687168;"SRID=4326;POINT(7.09582671880563 50.8268716757217)";substation;"220000;110000";;Station Stockem;Westnetz;
467;7.09435791;50.82696709;"SRID=4326;POINT(7.09435790958289 50.8269670893312)";auxillary_T_node;220000;50;Gremberghoven Ost;Amprion;
468;6.577290577;51.55639118;"SRID=4326;POINT(6.57729057687864 51.5563911802085)";substation;"220000;110000";50;Station Ossenberg;Amprion;
469;6.650667414;51.55370227;"SRID=4326;POINT(6.65066741434228 51.5537022721424)";auxillary_T_node;220000;50;Wesel Ost;Amprion;
470;7.825990433;51.75006755;"SRID=4326;POINT(7.82599043340792 51.7500675542728)";auxillary_T_node;380000;50;Uentrop Nord;Amprion;
471;6.928979054;50.84381695;"SRID=4326;POINT(6.9289790539233 50.84381694694)";auxillary_T_node;220000;50;Olefin West;Amprion;
472;7.99395912;51.82309543;"SRID=4326;POINT(7.9939591196577 51.823095434189)";substation;"380000;110000";50;Station Enniger;Amprion;
473;7.834020743;51.75504035;"SRID=4326;POINT(7.83402074322725 51.7550403464858)";auxillary_T_node;380000;50;Gersteinwerk Ost;Amprion;
474;9.145176872;52.85324644;"SRID=4326;POINT(9.14517687189382 52.8532464360106)";substation;"220000;110000";50;Wechold;"TenneT TSO GmbH;Avacon AG";
475;9.137947926;52.84702699;"SRID=4326;POINT(9.13794792584036 52.8470269944345)";auxillary_T_node;220000;50;Leitung 2010/2023;TenneT;1
476;8.318889254;52.06603746;"SRID=4326;POINT(8.31888925383353 52.0660374597241)";substation;"220000;110000";50;Station Hesseln;RWE;
477;8.334667751;52.07052004;"SRID=4326;POINT(8.33466775124759 52.07052004268)";auxillary_T_node;220000;50;Halle West;Amprion;
478;7.981878319;51.67665157;"SRID=4326;POINT(7.9818783185962 51.6766515664854)";auxillary_T_node;380000;50;Geithe West;Amprion;
479;9.923829837;51.89756176;"SRID=4326;POINT(9.92382983732643 51.8975617615529)";substation;220000;50;Erzhausen;;
480;9.85241625;51.89876525;"SRID=4326;POINT(9.8524162497002 51.8987652474175)";auxillary_T_node;220000;50;Leitung 2030/2001;TenneT;2030/2001
481;9.413681221;52.02748289;"SRID=4326;POINT(9.4136812208929 52.0274828920508)";auxillary_T_node;380000;50;Leitung 3019/3026/3027;;"3019;3026;3027"
482;10.35521499;52.17581096;"SRID=4326;POINT(10.3552149923206 52.1758109606876)";auxillary_T_node;220000;50;Leitung 2019/2027/2029;TenneT;2
483;10.70273189;47.8264598;"SRID=4326;POINT(10.7027318899547 47.8264597977002)";substation;"380000;110000";50;Umspannwerk Bidingen Nr. 697 S;LEW;
484;10.70374228;47.82641598;"SRID=4326;POINT(10.7037422782749 47.826415980499)";auxillary_T_node;380000;;K12;;
485;10.19493344;47.97093688;"SRID=4326;POINT(10.1949334440241 47.9709368782958)";substation;"220000;110000";50;Umspannwerk Memmingen;LEW;
486;10.64128677;48.02745124;"SRID=4326;POINT(10.6412867739286 48.0274512409907)";substation;"220000;110000";50;Umspannstation Irsingen;;
487;10.64180254;48.02584927;"SRID=4326;POINT(10.6418025411196 48.0258492685192)";auxillary_T_node;220000;;;;O11
488;8.670099217;49.30920228;"SRID=4326;POINT(8.67009921732699 49.3092022842852)";auxillary_T_node;380000;;HD-Neurott - Hüffenhardt;;
489;9.228088745;51.81245337;"SRID=4326;POINT(9.22808874457675 51.8124533663924)";substation;"380000;110000";;Vörden;transpower;
490;9.231870023;51.81011909;"SRID=4326;POINT(9.23187002273009 51.810119094224)";auxillary_T_node;380000;;;TenneT;3012
491;10.23416297;48.52893204;"SRID=4326;POINT(10.2341629653667 48.5289320393823)";auxillary_T_node;380000;50;Delmensingen - Niederstotzingen - Rotensohl;;
492;8.735135734;50.15919154;"SRID=4326;POINT(8.73513573367143 50.1591915403542)";substation;"220000;110000";;Umspannwerk Frankfurt Nord;"TenneT;Mainova";
493;8.872259639;50.12972532;"SRID=4326;POINT(8.87225963914833 50.1297253197387)";substation;110000;50;Dörnigheim 110 kV;EON_Netz;DOEH
494;8.743260529;50.16233798;"SRID=4326;POINT(8.74326052934848 50.1623379810729)";auxillary_T_node;220000;;Staudinger - Dörnigheim - Frankfurt Nord;;
495;9.332230166;54.72102276;"SRID=4326;POINT(9.33223016559803 54.7210227584184)";auxillary_T_node;380000;50;Audorf - Jardelund;TenneT TSO GmbH;
